,date,id,rawContent,url,username,followerCount,replyCount,retweetCount,likeCount,quoteCount,langugage,links,media,retweetedTweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,place,hashtags,cashtags,card
0,2023-01-25 19:26:24+00:00,1618329458238259200,"A new official 01coin block explorer has been launched at https://t.co/L2aX7toWgn. The old official $ZOC explorer had been having trouble properly displaying transactions for months, so we are pleased to say the new one works (and looks) great!",https://twitter.com/01CoinTeam/status/1618329458238259200,01CoinTeam,394,0,0,1,0,en,"[TextLink(text='explorer.01coin.io', url='https://explorer.01coin.io/', tcourl='https://t.co/L2aX7toWgn', indices=(58, 81))]",,,,,,,,,,['ZOC'],
1,2022-11-28 17:11:53+00:00,1597277107318669312,"Today is your last chance to get our best deals of the year on new VPS rentals from https://t.co/zDnDdnRd8U. 

• Get double the storage for FREE
• Get up to 5 times the network bandwidth for FREE
• Plus take an additional 25% off with discount code 25OFF

Don't miss out! https://t.co/DborkWslU8",https://twitter.com/01CoinTeam/status/1597277107318669312,01CoinTeam,394,1,0,1,0,en,"[TextLink(text='01VPS.net', url='http://01VPS.net', tcourl='https://t.co/zDnDdnRd8U', indices=(84, 107))]","[Photo(previewUrl='https://pbs.twimg.com/media/FiqrEKhWYAQNGTy?format=png&name=small', fullUrl='https://pbs.twimg.com/media/FiqrEKhWYAQNGTy?format=png&name=orig', altText=None)]",,,,,,,,,,
2,2022-11-25 06:39:16+00:00,1596030740487368704,"The https://t.co/zDnDdnRKYs Black Friday Sale is on now!

• Get double the storage for free!
• Get up to 5 times the network bandwidth for free!
• Plus take an additional 25% off with discount code 25OFF! https://t.co/VohsgYrPTV",https://twitter.com/01CoinTeam/status/1596030740487368704,01CoinTeam,394,0,0,0,0,en,"[TextLink(text='01VPS.net', url='http://01VPS.net', tcourl='https://t.co/zDnDdnRKYs', indices=(4, 27))]","[Photo(previewUrl='https://pbs.twimg.com/media/FiY9gCSWAAAHlVx?format=png&name=small', fullUrl='https://pbs.twimg.com/media/FiY9gCSWAAAHlVx?format=png&name=orig', altText=None)]",,,,,,,,,,
3,2022-11-16 06:26:40+00:00,1592766081529167873,"The $ZOC markets and liquidity pools on @xeggex continue to be disabled. We have tried to work with them but they are no longer cooperative, communicative or capable. I can only suspect they have become illiquid. Withdraw all funds from https://t.co/CGEUo8denx immediately.",https://twitter.com/01CoinTeam/status/1592766081529167873,01CoinTeam,394,0,0,1,0,en,"[TextLink(text='xeggex.com', url='http://xeggex.com', tcourl='https://t.co/CGEUo8denx', indices=(237, 260))]",,,,,,"[User(username='xeggex', id=1439826108476624901, displayname='XeggeX', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None)]",,,,['ZOC'],"SummaryCard(title='XeggeX cryptocurrency exchange - Buy and sell cryptocurrencies like Bitcoin, Ethereum, and more on...', url='http://xeggex.com', description=None, thumbnailUrl='https://pbs.twimg.com/card_img/1663696499581255680/zToXtTJB?format=jpg&name=orig', siteUser=User(username='xeggex', id=1439826108476624901, displayname='XeggeX', rawDescription='Official twitter account for https://t.co/gC1IeNMRa6', renderedDescription='Official twitter account for Xeggex.com', descriptionLinks=[TextLink(text='Xeggex.com', url='http://Xeggex.com', tcourl='https://t.co/gC1IeNMRa6', indices=(29, 52))], verified=False, created=datetime.datetime(2021, 9, 20, 5, 38, tzinfo=datetime.timezone.utc), followersCount=8155, friendsCount=13, statusesCount=365, favouritesCount=1, listedCount=11, mediaCount=342, location='', protected=None, link=TextLink(text='xeggex.com', url='https://xeggex.com', tcourl='https://t.co/mJP0Um236O', indices=(0, 23)), profileImageUrl='https://pbs.twimg.com/profile_images/1564235329095204864/DSTnLM3F_normal.jpg', profileBannerUrl='https://pbs.twimg.com/profile_banners/1439826108476624901/1661945044', label=None, blue=False, blueType=None), creatorUser=None)"
4,2022-10-30 16:10:34+00:00,1586752431731474433,Reminder: the https://t.co/zDnDdnRd8U Oktoberfest Sale ends tomorrow. Last chance to get double the #VPS storage space for no extra cost! https://t.co/FHZzCAbArC,https://twitter.com/01CoinTeam/status/1586752431731474433,01CoinTeam,394,0,0,0,0,en,"[TextLink(text='01VPS.net', url='http://01VPS.net', tcourl='https://t.co/zDnDdnRd8U', indices=(14, 37))]","[Photo(previewUrl='https://pbs.twimg.com/media/FgVG7YBWQAAESO1?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FgVG7YBWQAAESO1?format=jpg&name=orig', altText=None)]",,,,,,,,['VPS'],,
5,2022-10-18 18:05:26+00:00,1582432684592152578,"At 13:20 UTC today, the $ZOC #blockchain reached 841,536 blocks triggering its ""annual"" 8.33% block reward reduction. Rewards are now 18.35773535 ZOC, divided evenly between #miners and #masternode operators. The next block reward reduction will occur at block 1,051,920.",https://twitter.com/01CoinTeam/status/1582432684592152578,01CoinTeam,394,0,1,7,0,en,,,,,,,,,,"['blockchain', 'miners', 'masternode']",['ZOC'],
6,2022-10-07 19:41:32+00:00,1578470599470743552,We were working on a new #blockchain explorer for the $ZOC #Community yesterday when we noticed this little thing. 1010101 01coin transactions! Seems appropriate. https://t.co/mvdh3IZjBR,https://twitter.com/01CoinTeam/status/1578470599470743552,01CoinTeam,394,0,0,4,0,en,,"[Photo(previewUrl='https://pbs.twimg.com/media/FefapU2X0AQQuhp?format=png&name=small', fullUrl='https://pbs.twimg.com/media/FefapU2X0AQQuhp?format=png&name=orig', altText=None)]",,,,,,,,"['blockchain', 'Community']",['ZOC'],
7,2022-09-16 21:13:05+00:00,1570883493122506752,"New from https://t.co/zDnDdnRd8U!

@ubuntu 22.04 LTS #JammyJellyfish is now available for all #VPS servers! Of course, we continue to offer #Xenial, #Bionic and #Focal for those who prefer older Ubuntu flavours in addition to @debian 11. https://t.co/jM8W8Mp8Sw",https://twitter.com/01CoinTeam/status/1570883493122506752,01CoinTeam,394,0,0,1,0,en,"[TextLink(text='01VPS.net', url='http://01VPS.net', tcourl='https://t.co/zDnDdnRd8U', indices=(9, 32))]","[Photo(previewUrl='https://pbs.twimg.com/media/FczmNnSXkAADy9X?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FczmNnSXkAADy9X?format=jpg&name=orig', altText=None)]",,,,,"[User(username='ubuntu', id=2480951, displayname='Ubuntu', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None), User(username='debian', id=24253645, displayname='The Debian Project', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None)]",,,"['JammyJellyfish', 'VPS', 'Xenial', 'Bionic', 'Focal']",,
8,2022-09-15 19:30:05+00:00,1570495185733263367,"01coin has been added to @Blockspot_io, a new &amp; feature-rich #crypto market monitoring tool like @CoinMarketCap. What's more, 01coin earned https://t.co/N2J2FUqykM's Verified Badge, a reflection of the ongoing activity and transparency of our #community.

https://t.co/sXub7swgFl https://t.co/nyTMGPOYdp",https://twitter.com/01CoinTeam/status/1570495185733263367,01CoinTeam,394,0,0,3,0,en,"[TextLink(text='blockspot.io', url='http://blockspot.io', tcourl='https://t.co/N2J2FUqykM', indices=(144, 167)), TextLink(text='blockspot.io/coin/01coin/', url='https://blockspot.io/coin/01coin/', tcourl='https://t.co/sXub7swgFl', indices=(260, 283))]","[Photo(previewUrl='https://pbs.twimg.com/media/FcuFDJ9WIAYdbAq?format=png&name=small', fullUrl='https://pbs.twimg.com/media/FcuFDJ9WIAYdbAq?format=png&name=orig', altText=None)]",,,,,"[User(username='Blockspot_io', id=970265206994685953, displayname='Blockspot.io', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None), User(username='CoinMarketCap', id=2260491445, displayname='CoinMarketCap', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None)]",,,"['crypto', 'community']",,
9,2022-03-10 18:11:21+00:00,1501984064965955592,"@alfahydra1 Close your client, go into your data directory, backup your current wallet.dat, and then copy your wallet backup into it and rename it wallet.dat, then reopen your client.",https://twitter.com/01CoinTeam/status/1501984064965955592,01CoinTeam,394,0,0,0,0,en,,,,,1.50198098312994e+18,https://twitter.com/alihaiderAHK,,,,,,
