,date,id,rawContent,url,username,followerCount,replyCount,retweetCount,likeCount,quoteCount,langugage,links,media,retweetedTweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,place,hashtags,cashtags,card
0,2023-06-04 23:00:01+00:00,1665493636958785541,"'Litecoin could be single-handedly saving the crypto market' - @newsbtc 

https://t.co/J02heFpDQu",https://twitter.com/litecoin/status/1665493636958785541,litecoin,979398,17,22,97,2,en,"[TextLink(text='newsbtc.com/news/litecoin/…', url='https://www.newsbtc.com/news/litecoin/litecoin-attempts-revitalize-crypto-market-bullish-breakout/', tcourl='https://t.co/J02heFpDQu', indices=(74, 97))]",,,,,,"[User(username='newsbtc', id=2150123534, displayname='NewsBTC', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None)]",,,,,"SummaryCard(title='Litecoin Attempts To Revitalize The Crypto Market With Bullish Breakout', url='https://www.newsbtc.com/news/litecoin/litecoin-attempts-revitalize-crypto-market-bullish-breakout/', description='Litecoin could be single-handedly be saving the crypto market from further catastrophe. If an ongoing bullish breakout attempt is successful, it could', thumbnailUrl='https://pbs.twimg.com/card_img/1664341058384175104/wtgXgNDO?format=jpg&name=orig', siteUser=User(username='newsbtc', id=2150123534, displayname='NewsBTC', rawDescription='The hottest breaking #crypto news 🔥🚨🗞️ coverage, in-depth #Bitcoin and #altcoins 📈 technical analysis, and much more Sales enquiries: contact@newsbtc.com', renderedDescription='The hottest breaking #crypto news 🔥🚨🗞️ coverage, in-depth #Bitcoin and #altcoins 📈 technical analysis, and much more Sales enquiries: contact@newsbtc.com', descriptionLinks=None, verified=False, created=datetime.datetime(2013, 10, 23, 2, 56, 45, tzinfo=datetime.timezone.utc), followersCount=59763, friendsCount=3072, statusesCount=32318, favouritesCount=5882, listedCount=1308, mediaCount=8278, location='The Blockchain', protected=None, link=TextLink(text='newsbtc.com/crypto/ethereu…', url='https://www.newsbtc.com/crypto/ethereum-killer-sui-launched-today/', tcourl='https://t.co/ofrMtd4C06', indices=(0, 23)), profileImageUrl='https://pbs.twimg.com/profile_images/979695585321140224/-1wYmsMQ_normal.jpg', profileBannerUrl='https://pbs.twimg.com/profile_banners/2150123534/1682972872', label=None, blue=True, blueType=None), creatorUser=None)"
1,2023-06-04 13:00:02+00:00,1665342645873393664,"'Litecoin Network Activity Surges'

https://t.co/IO5QJL2Ghx",https://twitter.com/litecoin/status/1665342645873393664,litecoin,979398,23,80,304,6,en,"[TextLink(text='coinmarketcap.com/community/arti…', url='https://coinmarketcap.com/community/articles/6474bf401d98333b005d9c42/', tcourl='https://t.co/IO5QJL2Ghx', indices=(36, 59))]",,,,,,,,,,,"SummaryCard(title='Guest Post by litecoin: Litecoin Network Activity Surges as Bitcoin Faces Fee Dilemma | CoinMarke...', url='https://coinmarketcap.com/community/articles/6474bf401d98333b005d9c42/', description='Litecoin Network Activity Surges as Bitcoin Faces Fee Dilemma', thumbnailUrl='https://pbs.twimg.com/card_img/1663200160720228353/zGuql3pm?format=png&name=orig', siteUser=None, creatorUser=None)"
2,2023-06-03 15:22:11+00:00,1665016032501846021,"⏳ LITECOIN HALVING COUNTDOWN ⏳

60 DAYS!! https://t.co/kXjADcuvnp",https://twitter.com/litecoin/status/1665016032501846021,litecoin,979398,48,265,1242,17,en,,"[Photo(previewUrl='https://pbs.twimg.com/media/FxtTJPRaQAAhqOg?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FxtTJPRaQAAhqOg?format=jpg&name=orig', altText=None)]",,,,,,,,,,
3,2023-06-03 14:00:02+00:00,1664995358219329536,".@BinanceUS: What exactly is the Litecoin halving, what can you expect, and what does it mean for your $LTC? 

Learn more 👇

https://t.co/jUUp1SpyDI",https://twitter.com/litecoin/status/1664995358219329536,litecoin,979398,21,68,299,3,en,"[TextLink(text='blog.binance.us/litecoin-halvi…', url='https://blog.binance.us/litecoin-halving/', tcourl='https://t.co/jUUp1SpyDI', indices=(125, 148))]",,,,,,"[User(username='BinanceUS', id=1115465940831891457, displayname='Binance.US 🇺🇸', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None)]",,,,['LTC'],
4,2023-06-03 00:55:00+00:00,1664797798275989505,"On March 27, 2023, the U.S. Commodity Futures Trading Commission stated that #Litecoin $LTC is a ""commodity.""",https://twitter.com/litecoin/status/1664797798275989505,litecoin,979398,31,97,445,2,en,,,,,,,,,,['Litecoin'],['LTC'],
5,2023-06-02 17:46:33+00:00,1664689975122853889,Litecoin #Ordinals just hit 4 Million! https://t.co/QWuqqPbIhk,https://twitter.com/litecoin/status/1664689975122853889,litecoin,979398,40,149,745,4,en,,"[Photo(previewUrl='https://pbs.twimg.com/media/FxoovDFaMAAUuCF?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FxoovDFaMAAUuCF?format=jpg&name=orig', altText=None)]",,,,,,,,['Ordinals'],,
6,2023-06-02 15:12:43+00:00,1664651264536485890,"'Litecoin unique addresses jump in May, shattering previous records' - @Cointelegraph 

https://t.co/aEt25pNfMZ",https://twitter.com/litecoin/status/1664651264536485890,litecoin,979398,20,80,336,0,en,"[TextLink(text='cointelegraph.com/news/why-is-li…', url='https://cointelegraph.com/news/why-is-litecoin-price-up-today', tcourl='https://t.co/aEt25pNfMZ', indices=(88, 111))]",,,,,,"[User(username='Cointelegraph', id=2207129125, displayname='Cointelegraph', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None, blue=None, blueType=None)]",,,,,"SummaryCard(title='Why is Litecoin price up today?', url='https://cointelegraph.com/news/why-is-litecoin-price-up-today', description='Litecoin price continues to rally as its network saw the strongest rise in its unique addresses on record.', thumbnailUrl='https://pbs.twimg.com/card_img/1663218584204591117/L2JbOQF9?format=jpg&name=orig', siteUser=User(username='Cointelegraph', id=2207129125, displayname='Cointelegraph', rawDescription='The leader in Bitcoin, Ethereum & blockchain news. Markets: @CointelegraphMT. Magazine: @CointelegraphZN. Research: @CointelegraphCS. TG: https://t.co/M6iNuH76x7', renderedDescription='The leader in Bitcoin, Ethereum & blockchain news. Markets: @CointelegraphMT. Magazine: @CointelegraphZN. Research: @CointelegraphCS. TG: t.me/cointelegraph', descriptionLinks=[TextLink(text='t.me/cointelegraph', url='http://t.me/cointelegraph', tcourl='https://t.co/M6iNuH76x7', indices=(138, 161))], verified=False, created=datetime.datetime(2013, 11, 21, 12, 57, 8, tzinfo=datetime.timezone.utc), followersCount=1913651, friendsCount=990, statusesCount=122834, favouritesCount=9393, listedCount=15147, mediaCount=18446, location='New York, New York', protected=None, link=TextLink(text='cointelegraph.com', url='https://cointelegraph.com/', tcourl='https://t.co/td5A2zRaxE', indices=(0, 23)), profileImageUrl='https://pbs.twimg.com/profile_images/1270073276740534274/APmUBHaI_normal.jpg', profileBannerUrl='https://pbs.twimg.com/profile_banners/2207129125/1516724193', label=None, blue=True, blueType='Business'), creatorUser=User(username='Cointelegraph', id=2207129125, displayname='Cointelegraph', rawDescription='The leader in Bitcoin, Ethereum & blockchain news. Markets: @CointelegraphMT. Magazine: @CointelegraphZN. Research: @CointelegraphCS. TG: https://t.co/M6iNuH76x7', renderedDescription='The leader in Bitcoin, Ethereum & blockchain news. Markets: @CointelegraphMT. Magazine: @CointelegraphZN. Research: @CointelegraphCS. TG: t.me/cointelegraph', descriptionLinks=[TextLink(text='t.me/cointelegraph', url='http://t.me/cointelegraph', tcourl='https://t.co/M6iNuH76x7', indices=(138, 161))], verified=False, created=datetime.datetime(2013, 11, 21, 12, 57, 8, tzinfo=datetime.timezone.utc), followersCount=1913651, friendsCount=990, statusesCount=122834, favouritesCount=9393, listedCount=15147, mediaCount=18446, location='New York, New York', protected=None, link=TextLink(text='cointelegraph.com', url='https://cointelegraph.com/', tcourl='https://t.co/td5A2zRaxE', indices=(0, 23)), profileImageUrl='https://pbs.twimg.com/profile_images/1270073276740534274/APmUBHaI_normal.jpg', profileBannerUrl='https://pbs.twimg.com/profile_banners/2207129125/1516724193', label=None, blue=True, blueType='Business'))"
7,2023-06-02 12:00:03+00:00,1664602776301875200,"Litecoin is sound money more than ever. More than 11 years of flawless activity. 

You choose. https://t.co/M6HUZb2ZcH",https://twitter.com/litecoin/status/1664602776301875200,litecoin,979398,26,116,631,1,en,,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/FxkynPiaYAU2FLk.jpg', variants=[VideoVariant(url='https://video.twimg.com/tweet_video/FxkynPiaYAU2FLk.mp4', contentType='video/mp4', bitrate=0)], altText=None)]",,,,,,,,,,
8,2023-06-01 22:32:35+00:00,1664399571433439233,⚡ $LTC ⚡ https://t.co/eyGOFQ8LbI,https://twitter.com/litecoin/status/1664399571433439233,litecoin,979398,42,181,1128,10,qme,,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/FxkikjVaQAEyEss.jpg', variants=[VideoVariant(url='https://video.twimg.com/tweet_video/FxkikjVaQAEyEss.mp4', contentType='video/mp4', bitrate=0)], altText=None)]",,,,,,,,,['LTC'],
9,2023-05-28 23:00:00+00:00,1662956918649020416,#PaywithLitecoin ⚡ https://t.co/j0a0DkfWD2,https://twitter.com/litecoin/status/1662956918649020416,litecoin,979398,53,128,560,3,qme,,"[Photo(previewUrl='https://pbs.twimg.com/media/FxOx3ZIagAAair3?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FxOx3ZIagAAair3?format=jpg&name=orig', altText=None)]",,,,,,,,['PaywithLitecoin'],,
